instance,hvns,dabc,acols.lowEva,ils.neh,dabc.tuned,hvns.tuned
f2inter-100-m2const-bufcount-big-1-1-normal,1.00404858299595,1.01224489795918,1.00404858299595,1,1.01224489795918,1.00404858299595
f2inter-100-m2const-bufcount-big-1-2-normal,1.00404858299595,1.01224489795918,1.00404858299595,1,1.01224489795918,1.00404858299595
f2inter-100-m2const-bufcount-big-1-3-normal,1.00404858299595,1.01224489795918,1.00404858299595,1,1.01224489795918,1.00404858299595
f2inter-100-m2const-bufcount-mid-1-1-normal,1.00404858299595,1.01224489795918,1.00404858299595,1,1.01224489795918,1.00404858299595
f2inter-100-m2const-bufcount-mid-1-2-normal,1.00404858299595,1.01224489795918,1.00404858299595,1,1.01224489795918,1.00404858299595
f2inter-100-m2const-bufcount-mid-1-3-normal,1.00404858299595,1.01224489795918,1.00404858299595,1,1.01224489795918,1.00404858299595
f2inter-100-m2const-bufcount-small-1-1-normal,1.00403225806452,1.01219512195122,1.00403225806452,1,1.01219512195122,1.00403225806452
f2inter-100-m2const-bufcount-small-1-2-normal,1.00403225806452,1.01219512195122,1.00403225806452,1,1.01219512195122,1.00403225806452
f2inter-100-m2const-bufcount-small-1-3-normal,1.00268817204301,1.01084010840109,1.00268817204301,1,1.01084010840109,1.00268817204301
f2inter-100-m2const-bufm1-big-67-3-normal,1.00404858299595,1.01224489795918,1.00404858299595,1,1.01224489795918,1.00404858299595
f2inter-100-m2const-bufm1-big-69-2-normal,1.00404858299595,1.01224489795918,1.00404858299595,1,1.01224489795918,1.00404858299595
f2inter-100-m2const-bufm1-big-70-1-normal,1.00404858299595,1.01224489795918,1.00404858299595,1,1.01224489795918,1.00404858299595
f2inter-100-m2const-bufm1-mid-41-2-normal,1.01780821917808,1.0108843537415,1.00269905533064,1,1.0108843537415,1.01780821917808
f2inter-100-m2const-bufm1-mid-42-3-normal,1,1.00816326530612,1,1,1.00816326530612,1
