instance,hvns,dabc,acols.lowEva,ils.neh,dabc.tuned,hvns.tuned
f2inter-100-m2const-bufcount-big-1-1-normal,1,1.01082543978349,1.01082543978349,1,1.01082543978349,1
f2inter-100-m2const-bufcount-big-1-2-normal,1,1.0080971659919,1.00403225806452,1,1.00403225806452,1
f2inter-100-m2const-bufcount-big-1-3-normal,1,1.0080971659919,1.00403225806452,1,1.00403225806452,1
f2inter-100-m2const-bufcount-mid-1-1-normal,1,1.00538358008075,1.0080971659919,1,1,1
f2inter-100-m2const-bufcount-mid-1-2-normal,1,1.00268456375839,1.00268456375839,1,1.00268456375839,1
f2inter-100-m2const-bufcount-mid-1-3-normal,1,1.00268456375839,1,1,1,1
f2inter-100-m2const-bufcount-small-1-1-normal,1,1,1,1,1,1
f2inter-100-m2const-bufcount-small-1-2-normal,1,1,1,1,1,1
f2inter-100-m2const-bufcount-small-1-3-normal,1,1,1.00134048257373,1,1,1
f2inter-100-m2const-bufm1-big-67-3-normal,1,1.00403225806452,1,1,1.00403225806452,1
f2inter-100-m2const-bufm1-big-69-2-normal,1,1.00538358008075,1.01632653061224,1,1.01082543978349,1
f2inter-100-m2const-bufm1-big-70-1-normal,1,1.00538358008075,1.00538358008075,1,1,1
f2inter-100-m2const-bufm1-mid-41-2-normal,1.03042876901798,1.00539811066127,1.00539811066127,1,1.00539811066127,1.03472222222222
f2inter-100-m2const-bufm1-mid-42-3-normal,1,1.00268456375839,1.0080971659919,1.0080971659919,1.0080971659919,1
f2inter-100-m2const-bufm1-mid-43-1-normal,1.02049180327869,1,1,1,1.00268456375839,1.02049180327869
f2inter-100-m2const-bufm1-small-17-2-normal,1.02479338842975,1.01086956521739,1.14814814814815,1,1.01086956521739,1.02620689655172
f2inter-100-m2const-bufm1-small-18-1-normal,1.05359661495064,1,1,1.00945945945946,1,1.05359661495064
f2inter-100-m2const-bufm1-small-20-3-normal,1,1.00268456375839,1.00134048257373,1,1.00403225806452,1
f2inter-150-m2const-bufcount-big-1-1-normal,1,1,1,1,1,1
f2inter-150-m2const-bufcount-big-1-2-normal,1,1.01356852103121,1.01356852103121,1,1.00673854447439,1
f2inter-150-m2const-bufcount-big-1-3-normal,1,1.02049180327869,1.00673854447439,1,1.00673854447439,1
f2inter-150-m2const-bufcount-mid-1-1-normal,1,1.01356852103121,1.01356852103121,1,1.00673854447439,1
f2inter-150-m2const-bufcount-mid-1-2-normal,1,1,1,1,1,1
f2inter-150-m2const-bufcount-mid-1-3-normal,1,1.01356852103121,1.02049180327869,1,1.01356852103121,1
f2inter-150-m2const-bufcount-small-1-1-normal,1,1.01219512195122,1.0080971659919,1,1.01219512195122,1
f2inter-150-m2const-bufcount-small-1-2-normal,1,1.00403225806452,1,1,1,1
f2inter-150-m2const-bufcount-small-1-3-normal,1,1.01219512195122,1.00403225806452,1,1.01219512195122,1
f2inter-150-m2const-bufm1-big-69-2-normal,1,1,1,1,1,1
f2inter-150-m2const-bufm1-big-69-3-normal,1,1.00673854447439,1.02049180327869,1,1.01356852103121,1
f2inter-150-m2const-bufm1-big-70-1-normal,1,1.02049180327869,1.02049180327869,1,1.02049180327869,1
f2inter-150-m2const-bufm1-mid-43-1-normal,1,1.00673854447439,1,1,1.00673854447439,1
f2inter-150-m2const-bufm1-mid-43-2-normal,1,1.02049180327869,1.02049180327869,1,1.02049180327869,1
f2inter-150-m2const-bufm1-mid-46-3-normal,1,1.00673854447439,1.00673854447439,1,1.01356852103121,1
f2inter-150-m2const-bufm1-small-19-2-normal,1.05982905982906,1.00404858299595,1,1.00813008130081,1,1.47035573122529
f2inter-150-m2const-bufm1-small-20-3-normal,1.05211267605634,1,1.00403225806452,1,1,1.05211267605634
f2inter-150-m2const-bufm1-small-21-1-normal,1,1.00403225806452,1.00403225806452,1,1.0080971659919,1
f2inter-50-m2const-bufcount-big-1-1-normal,1,1.00403225806452,1.00403225806452,1,1.00403225806452,1
f2inter-50-m2const-bufcount-big-1-2-normal,1,1.00403225806452,1.00403225806452,1,1.00268456375839,1
f2inter-50-m2const-bufcount-big-1-3-normal,1,1.00134048257373,1,1,1,1
f2inter-50-m2const-bufcount-mid-1-1-normal,1,1,1,1,1,1
f2inter-50-m2const-bufcount-mid-1-2-normal,1,1,1,1,1,1
f2inter-50-m2const-bufcount-mid-1-3-normal,1,1,1,1,1,1
f2inter-50-m2const-bufcount-small-1-1-normal,1,1,1,1,1,1
f2inter-50-m2const-bufcount-small-1-2-normal,1,1,1,1,1,1
f2inter-50-m2const-bufcount-small-1-3-normal,1,1,1,1,1,1
f2inter-50-m2const-bufm1-big-71-1-normal,1,1.00403225806452,1.00403225806452,1,1.00268456375839,1
f2inter-50-m2const-bufm1-big-71-2-normal,1,1.00403225806452,1.00403225806452,1,1.00403225806452,1
f2inter-50-m2const-bufm1-big-71-3-normal,1,1.00268456375839,1.00134048257373,1,1,1
f2inter-50-m2const-bufm1-mid-43-1-normal,1,1,1,1,1,1
f2inter-50-m2const-bufm1-mid-44-2-normal,1,1,1,1,1,1
f2inter-50-m2const-bufm1-mid-44-3-normal,1,1,1,1,1,1
f2inter-50-m2const-bufm1-small-13-1-normal,1.12012012012012,1.02472527472527,1.0013422818792,1,1.03038674033149,1.03181189488244
f2inter-50-m2const-bufm1-small-20-2-normal,1,1,1,1,1,1
f2inter-50-m2const-bufm1-small-21-3-normal,1,1,1,1,1,1
f2total-100-m2const-bufcount-big-3-1-normal,1,1.01632653061224,1.01082543978349,1,1.01632653061224,1
f2total-100-m2const-bufcount-big-3-2-normal,1,1.01082543978349,1.01082543978349,1,1.00538358008075,1
f2total-100-m2const-bufcount-big-3-3-normal,1,1,1,1,1.00538358008075,1
f2total-100-m2const-bufcount-mid-3-1-normal,1,1,1,1,1,1
f2total-100-m2const-bufcount-mid-3-2-normal,1,1.01219512195122,1.01219512195122,1,1.01219512195122,1
f2total-100-m2const-bufcount-mid-3-3-normal,1,1.00403225806452,1.0080971659919,1,1,1
f2total-100-m2const-bufcount-small-3-1-normal,1,1,1.00268456375839,1,1,1
f2total-100-m2const-bufcount-small-3-2-normal,1,1.00268456375839,1,1,1,1
f2total-100-m2const-bufcount-small-3-3-normal,1,1,1,1,1,1
f2total-100-m2const-bufm1-big-170-1-normal,1,1.02049180327869,1.01356852103121,1,1.01356852103121,1
f2total-100-m2const-bufm1-big-171-2-normal,1,1.01632653061224,1.01632653061224,1,1.01632653061224,1
f2total-100-m2const-bufm1-big-177-3-normal,1,1.00673854447439,1,1,1.01356852103121,1
f2total-100-m2const-bufm1-mid-115-1-normal,1,1,1,1,1,1
f2total-100-m2const-bufm1-mid-121-3-normal,1,1.0080971659919,1,1,1,1
f2total-100-m2const-bufm1-mid-122-2-normal,1,1.01219512195122,1.01219512195122,1,1.01219512195122,1
f2total-100-m2const-bufm1-small-64-2-normal,2.06896551724138,2,6,1,3.63636363636364,2.22910216718266
f2total-100-m2const-bufm1-small-71-1-normal,4,1.84517766497462,6,1,3,5
f2total-100-m2const-bufm1-small-75-3-normal,1.07748538011696,1.05890804597701,4.07748538011696,1,1.07748538011696,1.03949224259521
f2total-150-m2const-bufcount-big-3-1-normal,1,1.02049180327869,1.01356852103121,1,1.02049180327869,1
f2total-150-m2const-bufcount-big-3-2-normal,1,1.02049180327869,1.02049180327869,1,1.02049180327869,1
f2total-150-m2const-bufcount-big-3-3-normal,1,1.02049180327869,1.02049180327869,1,1.00673854447439,1
f2total-150-m2const-bufcount-mid-3-1-normal,1,1.02049180327869,1.02049180327869,1,1.02049180327869,1
f2total-150-m2const-bufcount-mid-3-2-normal,1,1.02049180327869,1.01356852103121,1,1.01356852103121,1
f2total-150-m2const-bufcount-mid-3-3-normal,1,1.01356852103121,1.02049180327869,1,1.01356852103121,1
f2total-150-m2const-bufcount-small-3-1-normal,1,1.01356852103121,1.02049180327869,1,1.02049180327869,1
f2total-150-m2const-bufcount-small-3-2-normal,1,1,1,1,1,1
f2total-150-m2const-bufcount-small-3-3-normal,1,1.01632653061224,1.01632653061224,1,1.01632653061224,1
f2total-150-m2const-bufm1-big-170-3-normal,1,1.02049180327869,1.02049180327869,1,1.02049180327869,1
f2total-150-m2const-bufm1-big-174-1-normal,1,1.02049180327869,1.02049180327869,1,1.02049180327869,1
f2total-150-m2const-bufm1-big-179-2-normal,1,1.02049180327869,1.02049180327869,1,1.02049180327869,1
f2total-150-m2const-bufm1-mid-119-1-normal,1,1,1.01356852103121,1,1,1
f2total-150-m2const-bufm1-mid-125-2-normal,1,1.02049180327869,1.02049180327869,1,1.02049180327869,1
f2total-150-m2const-bufm1-mid-133-3-normal,1,1.01356852103121,1.02049180327869,1,1.02049180327869,1
f2total-150-m2const-bufm1-small-68-3-normal,1.73684210526316,1.19604612850083,4.73684210526316,1,1.26923076923077,1.52201257861635
f2total-150-m2const-bufm1-small-71-2-normal,3,2,3,1,3,3
f2total-150-m2const-bufm1-small-76-1-normal,1.22222222222222,1.05523255813954,4.22222222222222,1,1.03271692745377,1.21404682274248
f2total-50-m2const-bufcount-big-3-1-normal,1,1.00403225806452,1.00403225806452,1,1.00403225806452,1
f2total-50-m2const-bufcount-big-3-2-normal,1,1.00134048257373,1.00268456375839,1,1.00134048257373,1
