instance,hvns,dabc,acols-lowEva,ils-neh,dabc-tuned,hvns-tuned
f2inter-100-m2const-bufcount-big-1-1-normal,7709,7709,7709,7709,7709,7709
f2inter-100-m2const-bufcount-big-1-2-normal,7574,7574,7574,7574,7574,7574
f2inter-100-m2const-bufcount-big-1-3-normal,7549,7549,7549,7549,7549,7549
f2inter-100-m2const-bufcount-mid-1-1-normal,5028,5028,5028,5028,5028,5028
f2inter-100-m2const-bufcount-mid-1-2-normal,5023,5023,5023,5023,5023,5023
f2inter-100-m2const-bufcount-mid-1-3-normal,5026,5026,5026,5026,5026,5026
f2inter-100-m2const-bufcount-small-1-1-normal,2578,2578,2578,2578,2578,2578
f2inter-100-m2const-bufcount-small-1-2-normal,2501,2501,2501,2501,2501,2501
f2inter-100-m2const-bufcount-small-1-3-normal,2673,2673,2673,2673,2673,2673
f2inter-100-m2const-bufm1-big-67-3-normal,7641,7633.33333333333,7637,7629.33333333333,7637.66666666667,7646
f2inter-100-m2const-bufm1-big-69-2-normal,7667,7660,7662.66666666667,7656.66666666667,7661.33333333333,7666.33333333333
f2inter-100-m2const-bufm1-big-70-1-normal,7750.33333333333,7749,7749,7749,7749,7752
f2inter-100-m2const-bufm1-mid-41-2-normal,5151.33333333333,5138,5139,5133.33333333333,5144,5150.66666666667
f2inter-100-m2const-bufm1-mid-42-3-normal,5111.33333333333,5099.33333333333,5103,5098.66666666667,5106.33333333333,5112.66666666667
f2inter-100-m2const-bufm1-mid-43-1-normal,5088,5076.66666666667,5075.66666666667,5073,5083.33333333333,5087.33333333333
f2inter-100-m2const-bufm1-small-17-2-normal,2551.33333333333,2542.33333333333,2540.66666666667,2541.33333333333,2546.66666666667,2551.66666666667
f2inter-100-m2const-bufm1-small-18-1-normal,2654.66666666667,2652,2646,2641.33333333333,2652,2656
f2inter-100-m2const-bufm1-small-20-3-normal,2704.33333333333,2703,2701.33333333333,2701.33333333333,2703,2707
f2inter-150-m2const-bufcount-big-1-1-normal,11541,11541,11541,11541,11541,11541
f2inter-150-m2const-bufcount-big-1-2-normal,11303,11303,11303,11303,11303,11303
f2inter-150-m2const-bufcount-big-1-3-normal,11505,11505,11505,11505,11505,11505
f2inter-150-m2const-bufcount-mid-1-1-normal,7528,7528,7528,7528,7528,7528
f2inter-150-m2const-bufcount-mid-1-2-normal,7698,7698,7698,7698,7698,7698
f2inter-150-m2const-bufcount-mid-1-3-normal,7784,7784,7784,7784,7784,7784
f2inter-150-m2const-bufcount-small-1-1-normal,4052,4052,4052,4052,4052,4052
f2inter-150-m2const-bufcount-small-1-2-normal,3776,3776,3776.66666666667,3776,3776,3776
f2inter-150-m2const-bufcount-small-1-3-normal,3926,3926,3926,3926,3926,3926
f2inter-150-m2const-bufm1-big-69-2-normal,11410,11394.3333333333,11431.6666666667,11382.3333333333,11400,11413
f2inter-150-m2const-bufm1-big-69-3-normal,11573,11560,11560,11560,11560,11573.6666666667
f2inter-150-m2const-bufm1-big-70-1-normal,11586.6666666667,11586,11586,11586,11586,11587
f2inter-150-m2const-bufm1-mid-43-1-normal,7664.33333333333,7648,7657.33333333333,7633.33333333333,7651.66666666667,7661.33333333333
f2inter-150-m2const-bufm1-mid-43-2-normal,7822,7813,7813,7813,7813,7820.33333333333
f2inter-150-m2const-bufm1-mid-46-3-normal,7810,7806,7806,7806,7806,7809.66666666667
f2inter-150-m2const-bufm1-small-19-2-normal,3888,3869,3878,3867,3881.33333333333,3894
f2inter-150-m2const-bufm1-small-20-3-normal,3999.33333333333,3995,3994.66666666667,3993,3995,4000
f2inter-150-m2const-bufm1-small-21-1-normal,4097,4097,4097,4089.33333333333,4097,4097
f2inter-50-m2const-bufcount-big-1-1-normal,3929,3929,3929,3929,3929,3929
f2inter-50-m2const-bufcount-big-1-2-normal,3925,3925,3925,3925,3925,3925
f2inter-50-m2const-bufcount-big-1-3-normal,3886,3886,3886,3886,3886,3886
f2inter-50-m2const-bufcount-mid-1-1-normal,2523,2523,2523,2523,2523,2523
f2inter-50-m2const-bufcount-mid-1-2-normal,2555,2555,2555,2555,2555,2555
f2inter-50-m2const-bufcount-mid-1-3-normal,2528,2528,2528,2528,2528,2528
f2inter-50-m2const-bufcount-small-1-1-normal,1254,1254,1254,1254,1254,1254
f2inter-50-m2const-bufcount-small-1-2-normal,1347,1347,1347,1347,1347,1347
f2inter-50-m2const-bufcount-small-1-3-normal,1357,1357,1357,1357,1357,1357
f2inter-50-m2const-bufm1-big-71-1-normal,3944,3944,3944,3944,3944,3944
f2inter-50-m2const-bufm1-big-71-2-normal,3937,3937,3937,3937,3937,3937
f2inter-50-m2const-bufm1-big-71-3-normal,3896.33333333333,3896,3896,3896,3896,3897
f2inter-50-m2const-bufm1-mid-43-1-normal,2548.33333333333,2547,2547,2547,2548,2548.33333333333
f2inter-50-m2const-bufm1-mid-44-2-normal,2594,2593.66666666667,2592,2592,2594,2594.33333333333
f2inter-50-m2const-bufm1-mid-44-3-normal,2577,2574,2574,2574,2576,2579.33333333333
f2inter-50-m2const-bufm1-small-13-1-normal,1291.33333333333,1291.33333333333,1281,1281,1293.33333333333,1292.33333333333
f2inter-50-m2const-bufm1-small-20-2-normal,1355.66666666667,1356,1353.33333333333,1353,1356,1355.33333333333
f2inter-50-m2const-bufm1-small-21-3-normal,1367,1367,1367,1367,1367,1367
f2total-100-m2const-bufcount-big-3-1-normal,7709,7709,7709,7709,7709,7709
f2total-100-m2const-bufcount-big-3-2-normal,7574,7574,7574,7574,7574,7574
f2total-100-m2const-bufcount-big-3-3-normal,7549,7549,7549,7549,7549,7549
f2total-100-m2const-bufcount-mid-3-1-normal,5028,5028,5028,5028,5028,5028
f2total-100-m2const-bufcount-mid-3-2-normal,5023,5023,5023,5023,5023,5023
f2total-100-m2const-bufcount-mid-3-3-normal,5026,5026,5026,5026,5026,5026
f2total-100-m2const-bufcount-small-3-1-normal,2578,2578,2578,2578,2578,2578
f2total-100-m2const-bufcount-small-3-2-normal,2501,2501,2501,2501,2501,2501
f2total-100-m2const-bufcount-small-3-3-normal,2673,2673,2673,2673,2673,2673
f2total-100-m2const-bufm1-big-170-1-normal,7997,7997,7997,7997,7997,7997
f2total-100-m2const-bufm1-big-171-2-normal,7939,7939,7939,7939,7939,7939
f2total-100-m2const-bufm1-big-177-3-normal,7934,7934,7934,7934,7934,7934
f2total-100-m2const-bufm1-mid-115-1-normal,5339.66666666667,5339,5339,5339,5340.66666666667,5339.66666666667
f2total-100-m2const-bufm1-mid-121-3-normal,5374.33333333333,5377.33333333333,5373.66666666667,5374.33333333333,5378.33333333333,5375.33333333333
f2total-100-m2const-bufm1-mid-122-2-normal,5438.66666666667,5445,5441.66666666667,5434.33333333333,5443.33333333333,5439.66666666667
f2total-100-m2const-bufm1-small-64-2-normal,2657,2664.33333333333,2695.66666666667,2643,2668.66666666667,2659
f2total-100-m2const-bufm1-small-71-1-normal,2697.66666666667,2691.66666666667,2750.33333333333,2674,2700.66666666667,2698.66666666667
f2total-100-m2const-bufm1-small-75-3-normal,2693,2690,2744,2678,2695.33333333333,2688.33333333333
f2total-150-m2const-bufcount-big-3-1-normal,11541,11541,11541,11541,11541,11541
f2total-150-m2const-bufcount-big-3-2-normal,11303,11303,11303,11303,11303,11303
f2total-150-m2const-bufcount-big-3-3-normal,11505,11505,11505,11505,11505,11505
f2total-150-m2const-bufcount-mid-3-1-normal,7528,7528,7528,7528,7528,7528
f2total-150-m2const-bufcount-mid-3-2-normal,7698,7698,7698,7698,7698,7698
f2total-150-m2const-bufcount-mid-3-3-normal,7784,7784,7784,7784,7784,7784
f2total-150-m2const-bufcount-small-3-1-normal,4052,4052,4052,4052,4052,4052
f2total-150-m2const-bufcount-small-3-2-normal,3776,3776,3776.66666666667,3776,3776,3776
f2total-150-m2const-bufcount-small-3-3-normal,3926,3926,3926,3926,3926,3926
f2total-150-m2const-bufm1-big-170-3-normal,12058,12058,12058,12058,12058,12058
f2total-150-m2const-bufm1-big-174-1-normal,11955,11955,11955,11955,11955,11955
f2total-150-m2const-bufm1-big-179-2-normal,11800,11800,11800,11800,11800,11800
f2total-150-m2const-bufm1-mid-119-1-normal,8057,8057.66666666667,8057.33333333333,8057,8059.33333333333,8057
f2total-150-m2const-bufm1-mid-125-2-normal,8215,8218.66666666667,8221,8212.33333333333,8217.66666666667,8215.66666666667
f2total-150-m2const-bufm1-mid-133-3-normal,8099.33333333333,8102,8107.66666666667,8096.33333333333,8101.66666666667,8100.66666666667
f2total-150-m2const-bufm1-small-68-3-normal,4147.92666666667,4157.33333333333,4224.66666666667,4127,4157.66666666667,4148.33333333333
f2total-150-m2const-bufm1-small-71-2-normal,3960,3957,4069.66666666667,3914,3963.33333333333,3961.33333333333
f2total-150-m2const-bufm1-small-76-1-normal,4070,4071.66666666667,4190.66666666667,4056,4074.66666666667,4068.66666666667
f2total-50-m2const-bufcount-big-3-1-normal,3929,3929,3929,3929,3929,3929
f2total-50-m2const-bufcount-big-3-2-normal,3925,3925,3925,3925,3925,3925
f2total-50-m2const-bufcount-big-3-3-normal,3886,3886,3886,3886,3886,3886
f2total-50-m2const-bufcount-mid-3-1-normal,2523,2523,2523,2523,2523,2523
f2total-50-m2const-bufcount-mid-3-2-normal,2555,2555,2555,2555,2555,2555
f2total-50-m2const-bufcount-mid-3-3-normal,2528,2528,2528,2528,2528,2528
f2total-50-m2const-bufcount-small-3-1-normal,1254,1254,1254,1254,1254,1254
f2total-50-m2const-bufcount-small-3-2-normal,1347,1347,1347,1347,1347,1347
f2total-50-m2const-bufcount-small-3-3-normal,1357,1357,1357,1357,1357,1357
f2total-50-m2const-bufm1-big-166-3-normal,4021,4021,4021,4021,4021,4021
f2total-50-m2const-bufm1-big-171-2-normal,4052,4052,4052,4052,4052,4052
