instance,hvns,dabc,acols.lowEva,ils.neh,dabc.tuned,hvns.tuned
f2inter-100-m2const-bufcount-big-1-1-normal,1.63570699791083,3.27109009344584,1.63570699791083,1,3.27109009344584,1.63570699791083
f2inter-100-m2const-bufcount-big-1-2-normal,1.49044491994392,2.98059470227994,1.49044491994392,1,2.98059470227994,1.49044491994392
f2inter-100-m2const-bufcount-big-1-3-normal,1,2.09979207920792,1.00439603960396,1.06975247524752,2.09979207920792,1
f2inter-100-m2const-bufcount-mid-1-1-normal,1.69916387678538,3.39799128547635,1.69916387678538,1,3.39799128547635,1.69916387678538
f2inter-100-m2const-bufcount-mid-1-2-normal,1,1.99980198019802,1,1.49286138613861,1.99980198019802,1
f2inter-100-m2const-bufcount-mid-1-3-normal,1.00014853691142,2.20010892706838,1.00345595880576,1,2.20010892706838,1.00014853691142
f2inter-100-m2const-bufcount-small-1-1-normal,1.36293097631739,2.72559206531273,1.36293097631739,1,2.72559206531273,1.36293097631739
f2inter-100-m2const-bufcount-small-1-2-normal,1.77504393673111,3.54973637961336,1.77504393673111,1,3.54973637961336,1.77504393673111
f2inter-100-m2const-bufcount-small-1-3-normal,1.38289861025536,2.76552337920175,1.38289861025536,1,2.76552337920175,1.38289861025536
f2inter-100-m2const-bufm1-big-67-3-normal,5,2,4,1,3,6
f2inter-100-m2const-bufm1-big-69-2-normal,5.90605371131479,3,4,1,2,5
f2inter-100-m2const-bufm1-big-70-1-normal,5,2.12264200514949,1.06142609426725,1,2.12264200514949,6
f2inter-100-m2const-bufm1-mid-41-2-normal,6,3,2,1,4,5
f2inter-100-m2const-bufm1-mid-42-3-normal,4.49902414692364,2.87555126644821,2,1,3.38611309183062,4.85857814874296
f2inter-100-m2const-bufm1-mid-43-1-normal,6,3,2,1,4,5
f2inter-100-m2const-bufm1-small-17-2-normal,4.72149043862608,2.8451909204033,2,1,3.66420297947888,5.01562327270253
f2inter-100-m2const-bufm1-small-18-1-normal,5,3,2,1,3,6
f2inter-100-m2const-bufm1-small-20-3-normal,5,3,1.91637456997779,1,3,6
f2inter-150-m2const-bufcount-big-1-1-normal,1.70534371146036,3.41053684069455,1.70534371146036,1,3.41053684069455,1.70534371146036
f2inter-150-m2const-bufcount-big-1-2-normal,1.74768788223439,4.1243613030267,1.75640703149233,1,4.1243613030267,1.74768788223439
f2inter-150-m2const-bufcount-big-1-3-normal,1.61272177594488,3.22530114820094,1.61272177594488,1,3.22530114820094,1.61272177594488
f2inter-150-m2const-bufcount-mid-1-1-normal,1,2.25990022075055,1.02841059602649,1.61142516556291,2.25990022075055,1
f2inter-150-m2const-bufcount-mid-1-2-normal,1.77127761902751,3.54239883385025,1.77127761902751,1,3.54239883385025,1.77127761902751
f2inter-150-m2const-bufcount-mid-1-3-normal,1.64235402626896,3.28456303231486,1.64235402626896,1,3.28456303231486,1.64235402626896
f2inter-150-m2const-bufcount-small-1-1-normal,1.68401737400353,3.36788604890119,1.68401737400353,1,3.36788604890119,1.68401737400353
f2inter-150-m2const-bufcount-small-1-2-normal,1.46488354014169,3.28119425843262,6,1,3.28119425843262,1.46488354014169
f2inter-150-m2const-bufcount-small-1-3-normal,1.37191410182328,2.74370706332852,1.37191410182328,1,2.74370706332852,1.37191410182328
f2inter-150-m2const-bufm1-big-69-2-normal,4,2,6,1,3,4.91098418899049
f2inter-150-m2const-bufm1-big-69-3-normal,5,3,1.52050568058237,1,3,6
f2inter-150-m2const-bufm1-big-70-1-normal,5,3,1.55360023705265,1,3,6
f2inter-150-m2const-bufm1-mid-43-1-normal,6,3,4,1,2,5
f2inter-150-m2const-bufm1-mid-43-2-normal,6,2.31708302684764,1.15859266541788,1,2.31708302684764,5
f2inter-150-m2const-bufm1-mid-46-3-normal,6,3,1.78768180684512,1,3,5
f2inter-150-m2const-bufm1-small-19-2-normal,3.76084715914447,3.46945792388814,2,1,2.91832607176561,4.5695226268377
f2inter-150-m2const-bufm1-small-20-3-normal,5,3,2,1,3,6
f2inter-150-m2const-bufm1-small-21-1-normal,5,3,2,1,3,5.58548100157496
f2inter-50-m2const-bufcount-big-1-1-normal,1.35782747603834,2.71458998935037,1.35782747603834,1,2.71458998935037,1.35782747603834
f2inter-50-m2const-bufcount-big-1-2-normal,1.35782747603834,2.71458998935037,1.35782747603834,1,2.71458998935037,1.35782747603834
f2inter-50-m2const-bufcount-big-1-3-normal,1.35782747603834,2.71458998935037,1.35782747603834,1,2.71458998935037,1.35782747603834
f2inter-50-m2const-bufcount-mid-1-1-normal,1,1.99921568627451,1,2.61834509803922,1.99921568627451,1
f2inter-50-m2const-bufcount-mid-1-2-normal,1.17404395988913,2.3471671009862,1.17404395988913,1,2.3471671009862,1.17404395988913
f2inter-50-m2const-bufcount-mid-1-3-normal,1,2.47902745098039,1.01850980392157,2.01505098039216,2.47902745098039,1
f2inter-50-m2const-bufcount-small-1-1-normal,1.13556408589318,2.27023753328761,1.13556408589318,1,2.27023753328761,1.13556408589318
f2inter-50-m2const-bufcount-small-1-2-normal,1.11403332488707,2.22719289814677,1.11403332488707,1,2.22719289814677,1.11403332488707
f2inter-50-m2const-bufcount-small-1-3-normal,1.21940722462916,2.43785805143507,1.21940722462916,1,2.43785805143507,1.21940722462916
f2inter-50-m2const-bufm1-big-71-1-normal,2.01219607843137,1.99921568627451,1,1.32234509803922,1.99921568627451,3.6103137254902
f2inter-50-m2const-bufm1-big-71-2-normal,3.10101960784314,1.99921568627451,1,1.15207058823529,1.99921568627451,3.72117647058824
f2inter-50-m2const-bufm1-big-71-3-normal,5,1.99921568627451,1,4,1.99921568627451,6
f2inter-50-m2const-bufm1-mid-43-1-normal,5,3,1,1.19516453702083,4,6
f2inter-50-m2const-bufm1-mid-44-2-normal,5,3,1.25002964066035,1,4,6
f2inter-50-m2const-bufm1-mid-44-3-normal,5,3,1.02518786942704,1,4,6
f2inter-50-m2const-bufm1-small-13-1-normal,3,4,2,1,6,5
f2inter-50-m2const-bufm1-small-20-2-normal,4,5,1.33205059379911,1,5,3
f2inter-50-m2const-bufm1-small-21-3-normal,6,1.99921568627451,1,1.02007058823529,1.99921568627451,5
f2total-100-m2const-bufcount-big-3-1-normal,1.68673491541275,3.37313582391155,1.68673491541275,1,3.37313582391155,1.68673491541275
f2total-100-m2const-bufcount-big-3-2-normal,1.36676725712816,2.73326386727472,1.36676725712816,1,2.73326386727472,1.36676725712816
f2total-100-m2const-bufcount-big-3-3-normal,1,2.09979207920792,1.00279207920792,1.16777227722772,2.09979207920792,1
f2total-100-m2const-bufcount-mid-3-1-normal,1.66225045670743,3.32417175490858,1.66225045670743,1,3.32417175490858,1.66225045670743
f2total-100-m2const-bufcount-mid-3-2-normal,1,1.99980198019802,1,1.21438613861386,1.99980198019802,1
f2total-100-m2const-bufcount-mid-3-3-normal,1,2.19978217821782,1.00360396039604,1.06545544554455,2.19978217821782,1
f2total-100-m2const-bufcount-small-3-1-normal,1.37047641016595,2.74068143886454,1.37047641016595,1,2.74068143886454,1.37047641016595
f2total-100-m2const-bufcount-small-3-2-normal,1.77504393673111,3.54973637961336,1.77504393673111,1,3.54973637961336,1.77504393673111
f2total-100-m2const-bufcount-small-3-3-normal,1.5520076217404,3.10370791523887,1.5520076217404,1,3.10370791523887,1.5520076217404
f2total-100-m2const-bufm1-big-170-1-normal,1.77504393673111,3.54973637961336,1.77504393673111,1,3.54973637961336,1.77504393673111
f2total-100-m2const-bufm1-big-171-2-normal,1.77504393673111,3.54973637961336,1.77504393673111,1,3.54973637961336,1.77504393673111
f2total-100-m2const-bufm1-big-177-3-normal,1.77504393673111,3.54973637961336,1.77504393673111,1,3.54973637961336,1.77504393673111
f2total-100-m2const-bufm1-mid-115-1-normal,5,3,1,1.53955307034828,6,4
f2total-100-m2const-bufm1-mid-121-3-normal,1.21071549219931,3.64822575406212,1.09986996922332,1,3.95811713086808,1.7966627740612
f2total-100-m2const-bufm1-mid-122-2-normal,2,6,4,1,5,3
f2total-100-m2const-bufm1-small-64-2-normal,2,4,6,1,5,3
f2total-100-m2const-bufm1-small-71-1-normal,2,5,6,1,4,3
f2total-100-m2const-bufm1-small-75-3-normal,3,5,6,1,4,2
f2total-150-m2const-bufcount-big-3-1-normal,1.67139182294611,3.34263606162529,1.67139182294611,1,3.34263606162529,1.67139182294611
f2total-150-m2const-bufcount-big-3-2-normal,1.7606756019334,4.15501096827053,1.78307854712003,1,4.15501096827053,1.7606756019334
f2total-150-m2const-bufcount-big-3-3-normal,1.58476055072703,3.1693811667476,1.58476055072703,1,3.1693811667476,1.58476055072703
f2total-150-m2const-bufcount-mid-3-1-normal,1,2.25990022075055,1.04683885209713,1.55807417218543,2.25990022075055,1
f2total-150-m2const-bufcount-mid-3-2-normal,1.59273963875399,3.18533863824628,1.59273963875399,1,3.18533863824628,1.59273963875399
f2total-150-m2const-bufcount-mid-3-3-normal,1.6199885849811,3.23983412461253,1.6199885849811,1,3.23983412461253,1.6199885849811
f2total-150-m2const-bufcount-small-3-1-normal,1.58824989586971,3.17635954892301,1.58824989586971,1,3.17635954892301,1.58824989586971
f2total-150-m2const-bufcount-small-3-2-normal,1.43354611841281,3.21100153291333,6,1,3.21100153291333,1.43354611841281
f2total-150-m2const-bufcount-small-3-3-normal,1.55734537588748,3.11455323783449,1.55734537588748,1,3.11455323783449,1.55734537588748
f2total-150-m2const-bufm1-big-170-3-normal,1.8941294530858,3.78809165412276,1.8941294530858,1,3.78809165412276,1.8941294530858
f2total-150-m2const-bufm1-big-174-1-normal,1.8941294530858,3.78809165412276,1.8941294530858,1,3.78809165412276,1.8941294530858
f2total-150-m2const-bufm1-big-179-2-normal,1.8941294530858,3.78809165412276,1.8941294530858,1,3.78809165412276,1.8941294530858
f2total-150-m2const-bufm1-mid-119-1-normal,2,5,4,1,6,2.63329874099587
f2total-150-m2const-bufm1-mid-125-2-normal,2,6,5,1,4,3
f2total-150-m2const-bufm1-mid-133-3-normal,2,5,6,1,4,3
f2total-150-m2const-bufm1-small-68-3-normal,3,5,6,1,4,2
f2total-150-m2const-bufm1-small-71-2-normal,2,5,6,1,4,3
f2total-150-m2const-bufm1-small-76-1-normal,3,5,6,1,4,2
f2total-50-m2const-bufcount-big-3-1-normal,1.35782747603834,2.71458998935037,1.35782747603834,1,2.71458998935037,1.35782747603834
f2total-50-m2const-bufcount-big-3-2-normal,1.35782747603834,2.71458998935037,1.35782747603834,1,2.71458998935037,1.35782747603834
f2total-50-m2const-bufcount-big-3-3-normal,1.35782747603834,2.71458998935037,1.35782747603834,1,2.71458998935037,1.35782747603834
f2total-50-m2const-bufcount-mid-3-1-normal,1,1.99921568627451,1,3.20814901960784,1.99921568627451,1
f2total-50-m2const-bufcount-mid-3-2-normal,1.15490176541454,2.30889772552288,1.15490176541454,1,2.30889772552288,1.15490176541454
f2total-50-m2const-bufcount-mid-3-3-normal,1,2.47902745098039,1.12188235294118,1.78854117647059,2.47902745098039,1
f2total-50-m2const-bufcount-small-3-1-normal,1.22385509555669,2.44675030476392,1.22385509555669,1,2.44675030476392,1.22385509555669
f2total-50-m2const-bufcount-small-3-2-normal,1.15354341394566,2.30618208795882,1.15354341394566,1,2.30618208795882,1.15354341394566
f2total-50-m2const-bufcount-small-3-3-normal,1.27718398461369,2.55336625629827,1.27718398461369,1,2.55336625629827,1.27718398461369
f2total-50-m2const-bufm1-big-166-3-normal,1.35782747603834,2.71458998935037,1.35782747603834,1,2.71458998935037,1.35782747603834
f2total-50-m2const-bufm1-big-171-2-normal,1.35782747603834,2.71458998935037,1.35782747603834,1,2.71458998935037,1.35782747603834
f2total-50-m2const-bufm1-big-174-1-normal,1.35782747603834,2.71458998935037,1.35782747603834,1,2.71458998935037,1.35782747603834
f2total-50-m2const-bufm1-mid-111-1-normal,1,6,4,1.32996621945048,5,1
f2total-50-m2const-bufm1-mid-114-3-normal,4.08664028252826,3.77304801922234,2,1,6,3
f2total-50-m2const-bufm1-mid-121-2-normal,4,3,2,1,6,5
f2total-50-m2const-bufm1-small-67-1-normal,3,4,5,1,6,2
f2total-50-m2const-bufm1-small-69-3-normal,2,4,5,1,6,3
f2total-50-m2const-bufm1-small-74-2-normal,3,4,5.78406940760303,1,5,2
