instance,hvns,dabc,acols.lowEva,ils.neh,dabc.tuned,hvns.tuned
f2inter-100-m2const-bufcount-big-1-1-normal,1.3262599469496,1.3262599469496,1.3262599469496,1,1.3262599469496,1.3262599469496
f2inter-100-m2const-bufcount-big-1-2-normal,1.20192307692308,1.20192307692308,1.20192307692308,1,1.20192307692308,1.20192307692308
f2inter-100-m2const-bufcount-big-1-3-normal,1,1.061,1.009,1.528,1.061,1
f2inter-100-m2const-bufcount-mid-1-1-normal,1.28755364806867,1.43061516452074,1.43061516452074,1,1.43061516452074,1.28755364806867
f2inter-100-m2const-bufcount-mid-1-2-normal,1,1.11111111111111,1.11111111111111,2.34666666666667,1.11111111111111,1
f2inter-100-m2const-bufcount-mid-1-3-normal,1,1.25444444444444,1.12444444444444,1.59666666666667,1.25222222222222,1
f2inter-100-m2const-bufcount-small-1-1-normal,1.00558659217877,1.11731843575419,1.11731843575419,1,1.11731843575419,1.00558659217877
f2inter-100-m2const-bufcount-small-1-2-normal,1.5,1.66666666666667,1.66666666666667,1,1.66666666666667,1.5
f2inter-100-m2const-bufcount-small-1-3-normal,1,1.11111111111111,1.11111111111111,1.01111111111111,1.11111111111111,1
f2inter-100-m2const-bufm1-big-67-3-normal,5,2,3,1,4,6
f2inter-100-m2const-bufm1-big-69-2-normal,6,2,4,1,3,5
f2inter-100-m2const-bufm1-big-70-1-normal,5,1,1,1.317,1,6
f2inter-100-m2const-bufm1-mid-41-2-normal,6,2,3,1,4,5
f2inter-100-m2const-bufm1-mid-42-3-normal,5,1.50007793580789,2.99993576169779,1,4,6
f2inter-100-m2const-bufm1-mid-43-1-normal,6,3,2,1,4,5
f2inter-100-m2const-bufm1-small-17-2-normal,5,1.99785935062741,1,1.49824433094695,4,6
f2inter-100-m2const-bufm1-small-18-1-normal,5,3,2,1,3,6
f2inter-100-m2const-bufm1-small-20-3-normal,5,3,1.00037454816253,1,3,6
f2inter-150-m2const-bufcount-big-1-1-normal,1.31004366812227,1.45560407569141,1.45560407569141,1,1.45560407569141,1.31004366812227
f2inter-150-m2const-bufcount-big-1-2-normal,1.40646976090014,1.81856540084388,1.43600562587904,1,1.81715893108298,1.40646976090014
f2inter-150-m2const-bufcount-big-1-3-normal,1.14503816793893,1.27226463104326,1.27226463104326,1,1.27226463104326,1.14503816793893
f2inter-150-m2const-bufcount-mid-1-1-normal,1,1.25555555555556,1.16777777777778,2.48777777777778,1.24666666666667,1
f2inter-150-m2const-bufcount-mid-1-2-normal,1.27478753541076,1.41643059490085,1.41643059490085,1,1.41643059490085,1.27478753541076
f2inter-150-m2const-bufcount-mid-1-3-normal,1.14649681528662,1.27388535031847,1.27388535031847,1,1.27388535031847,1.14649681528662
f2inter-150-m2const-bufcount-small-1-1-normal,1.22116689280868,1.35685210312076,1.35685210312076,1,1.35685210312076,1.22116689280868
f2inter-150-m2const-bufcount-small-1-2-normal,1.01010101010101,1.32210998877666,6,1,1.32098765432099,1.01010101010101
f2inter-150-m2const-bufcount-small-1-3-normal,1,1.11111111111111,1.11111111111111,1.03666666666667,1.11111111111111,1
f2inter-150-m2const-bufm1-big-69-2-normal,4,2,6,1,3,5
f2inter-150-m2const-bufm1-big-69-3-normal,5,1.25944584382872,1.25944584382872,1,1.25944584382872,6
f2inter-150-m2const-bufm1-big-70-1-normal,5,1.29032258064516,1.29032258064516,1,1.29032258064516,6
f2inter-150-m2const-bufm1-mid-43-1-normal,6,2,4,1,3,5
f2inter-150-m2const-bufm1-mid-43-2-normal,6,1,1,1.172,1,5
f2inter-150-m2const-bufm1-mid-46-3-normal,6,1.54083204930663,1.54083204930663,1,1.54083204930663,5
f2inter-150-m2const-bufm1-small-19-2-normal,5,1.60005749457251,3,1,4,6
f2inter-150-m2const-bufm1-small-20-3-normal,5,2,2,1,2,6
f2inter-150-m2const-bufm1-small-21-1-normal,5,2,2,1,2,6
f2inter-50-m2const-bufcount-big-1-1-normal,1.25,1.25,1.25,1,1.25,1.125
f2inter-50-m2const-bufcount-big-1-2-normal,1.125,1.25,1.25,1,1.25,1.25
f2inter-50-m2const-bufcount-big-1-3-normal,1.125,1.25,1.25,1,1.25,1.125
f2inter-50-m2const-bufcount-mid-1-1-normal,1,1.11111111111111,1.11111111111111,3.94888888888889,1.11111111111111,1
f2inter-50-m2const-bufcount-mid-1-2-normal,1,1.11111111111111,1.11111111111111,1.17111111111111,1.11111111111111,1
f2inter-50-m2const-bufcount-mid-1-3-normal,1,1.44333333333333,1.15555555555556,3.34555555555556,1.44444444444444,1
f2inter-50-m2const-bufcount-small-1-1-normal,1,1.11111111111111,1.11111111111111,1.20444444444444,1.11111111111111,1
