instance,hvns,dabc,acols.lowEva,ils.neh,dabc.tuned,hvns.tuned
f2inter-100-m2const-bufcount-big-1-1-normal,1,1,1,1,1,1
f2inter-100-m2const-bufcount-big-1-2-normal,1,1,1,1,1,1
f2inter-100-m2const-bufcount-big-1-3-normal,1,1.00715326533316,1,1.00702079745662,1.00715326533316,1
f2inter-100-m2const-bufcount-mid-1-1-normal,1,1,1,1,1,1
f2inter-100-m2const-bufcount-mid-1-2-normal,1,1,1,1.04094498639591,1,1
f2inter-100-m2const-bufcount-mid-1-3-normal,1,1.00378034222045,1,1.00450988194722,1.00378034222045,1
f2inter-100-m2const-bufcount-small-1-1-normal,1,1,1,1,1,1
f2inter-100-m2const-bufcount-small-1-2-normal,1,1,1,1,1,1
f2inter-100-m2const-bufcount-small-1-3-normal,1,1,1,1,1,1
f2inter-100-m2const-bufm1-big-67-3-normal,4,3,5,1,2,6
f2inter-100-m2const-bufm1-big-69-2-normal,2.91596951106009,3.38910578174194,4.45082729131605,1,3.34690462911134,2
f2inter-100-m2const-bufm1-big-70-1-normal,1.33987181141643,1,1,1.00559211941325,1,1.34236675700101
f2inter-100-m2const-bufm1-mid-41-2-normal,6,4,3,1,2,5
f2inter-100-m2const-bufm1-mid-42-3-normal,4.28445065176747,3,3.97113594040781,1,2,3.95406579763947
f2inter-100-m2const-bufm1-mid-43-1-normal,6,2,3,1,4,5
f2inter-100-m2const-bufm1-small-17-2-normal,5,2,4,1,3,5.72808486879546
f2inter-100-m2const-bufm1-small-18-1-normal,6,3,2,1,3,5
f2inter-100-m2const-bufm1-small-20-3-normal,5,3,2,1,3,6
f2inter-150-m2const-bufcount-big-1-1-normal,1,1,1,1,1,1
f2inter-150-m2const-bufcount-big-1-2-normal,1,1.01592497567018,1,1,1.01592497567018,1
f2inter-150-m2const-bufcount-big-1-3-normal,1,1,1,1,1,1
f2inter-150-m2const-bufcount-mid-1-1-normal,1,1.0278958554729,1,1.04821997874598,1.0278958554729,1
f2inter-150-m2const-bufcount-mid-1-2-normal,1,1,1,1,1,1
f2inter-150-m2const-bufcount-mid-1-3-normal,1,1,1,1,1,1
f2inter-150-m2const-bufcount-small-1-1-normal,1,1,1,1,1,1
f2inter-150-m2const-bufcount-small-1-2-normal,1,1.01324152542373,1.17355225988676,1,1.01324152542373,1
f2inter-150-m2const-bufcount-small-1-3-normal,1,1,1,1,1,1
f2inter-150-m2const-bufm1-big-69-2-normal,2.73404976785416,2,4.3099274870892,1,2.47795920496637,2.81198810579695
f2inter-150-m2const-bufm1-big-69-3-normal,1.85371972318288,1,1,1,1,1.77119377162555
f2inter-150-m2const-bufm1-big-70-1-normal,1.23577305943906,1,1,1.00020139248516,1,1.28137407215638
f2inter-150-m2const-bufm1-mid-43-1-normal,4.01976697468908,3,4.31217356368067,1,2,3.77621534752926
f2inter-150-m2const-bufm1-mid-43-2-normal,1.73868339092968,1,1,1.00072528691497,1,1.57941891718938
f2inter-150-m2const-bufm1-mid-46-3-normal,1.3764198479802,1,1,1,1,1.33013066871639
f2inter-150-m2const-bufm1-small-19-2-normal,3.60394309957665,3,3.06147575077016,1,2,4.33067132518184
