instance,hvns,dabc,acols.lowEva,ils.neh,dabc.tuned,hvns.tuned
f2inter-100-m2const-bufcount-big-1-1-normal,1,1,1,1,1,1
f2inter-100-m2const-bufcount-big-1-2-normal,1,1,1,1,1,1
f2inter-100-m2const-bufcount-big-1-3-normal,1,1.00239790189404,1.0002363642503,1.02804975745762,1.00239384643186,1
f2inter-100-m2const-bufcount-mid-1-1-normal,1,1,1,1,1,1
f2inter-100-m2const-bufcount-mid-1-2-normal,1,1,1,1.06604339614493,1,1
f2inter-100-m2const-bufcount-mid-1-3-normal,1,1.00119379228014,1.00015647349511,1.00631951945124,1.00119379228014,1
f2inter-100-m2const-bufcount-small-1-1-normal,1,1,1,1.0014115162486,1,1
f2inter-100-m2const-bufcount-small-1-2-normal,1,1,1,1,1,1
f2inter-100-m2const-bufcount-small-1-3-normal,1,1,1,1.00395934655194,1,1
f2inter-100-m2const-bufm1-big-67-3-normal,4,2,5,1,3,6
f2inter-100-m2const-bufm1-big-69-2-normal,2.43150388620022,2.05033015948436,3.71553932618588,1,1.89546672605631,2.29587849216176
f2inter-100-m2const-bufm1-big-70-1-normal,1.37970277541901,1,1,1.01456278988559,1,1.38490745891863
f2inter-100-m2const-bufm1-mid-41-2-normal,6,2,4,1,3,5
f2inter-100-m2const-bufm1-mid-42-3-normal,3.56391485693933,2,3.32467388181219,1,2.19889907736202,3.31665562133819
f2inter-100-m2const-bufm1-mid-43-1-normal,6,2,4,1,3,5
f2inter-100-m2const-bufm1-small-17-2-normal,4.94447509667029,2,4,1,3,5.30350353102041
f2inter-100-m2const-bufm1-small-18-1-normal,6,3,2,1,3,5
f2inter-100-m2const-bufm1-small-20-3-normal,5,3,2,1,3,6
f2inter-150-m2const-bufcount-big-1-1-normal,1,1,1,1,1,1
f2inter-150-m2const-bufcount-big-1-2-normal,1,1.00534527715245,1.00036006365556,1,1.00532582790857,1
f2inter-150-m2const-bufcount-big-1-3-normal,1,1,1,1.00000618088754,1,1
f2inter-150-m2const-bufcount-mid-1-1-normal,1,1.00925866273256,1.00359776522425,1.09551279957493,1.00877545452748,1
f2inter-150-m2const-bufcount-mid-1-2-normal,1,1,1,1,1,1
f2inter-150-m2const-bufcount-mid-1-3-normal,1,1,1,1,1,1
f2inter-150-m2const-bufcount-small-1-1-normal,1,1,1,1,1,1
f2inter-150-m2const-bufcount-small-1-2-normal,1,1.00442106825901,1.18194785162033,1.00113145565233,1.00439897040321,1
f2inter-150-m2const-bufcount-small-1-3-normal,1,1,1,1.00583006076551,1,1
f2inter-150-m2const-bufm1-big-69-2-normal,2.55578316964781,1.41110671530561,3.76225173132412,1,1.60950464343719,2.62442060325364
f2inter-150-m2const-bufm1-big-69-3-normal,2.02248328372848,1,1,1.00772282166826,1,1.94238248295279
f2inter-150-m2const-bufm1-big-70-1-normal,1.33201782393869,1,1,1.0048450205854,1,1.376168480587
f2inter-150-m2const-bufm1-mid-43-1-normal,3.41490989960788,2.25444142851182,3.61902976904345,1,2,3.2246021324686
f2inter-150-m2const-bufm1-mid-43-2-normal,1.81352999488875,1,1,1.03563046024328,1,1.65466560005413
