instance,hvns,dabc,acols.lowEva,ils.neh,hvns.tuned,dabc.tuned
f2inter-100-m2const-bufcount-big-1-1,1.00404858299595,1.01224489795918,1.00404858299595,1,1.00404858299595,1.01224489795918
f2inter-100-m2const-bufcount-big-1-2,1.00404858299595,1.01224489795918,1.00404858299595,1,1.00404858299595,1.01224489795918
f2inter-100-m2const-bufcount-big-1-3,1.00404858299595,1.01224489795918,1.00404858299595,1,1.00404858299595,1.01224489795918
f2inter-100-m2const-bufcount-mid-1-1,1,1.00813008130081,1,1,1,1.00813008130081
f2inter-100-m2const-bufcount-mid-1-2,1.00404858299595,1.01224489795918,1.00404858299595,1,1.00404858299595,1.01224489795918
f2inter-100-m2const-bufcount-mid-1-3,1.00404858299595,1.01224489795918,1.00404858299595,1,1.00404858299595,1.01224489795918
f2inter-100-m2const-bufcount-small-1-1,1,1.00813008130081,1,1,1,1.00813008130081
f2inter-100-m2const-bufcount-small-1-2,1,1.00813008130081,1,1,1,1.00813008130081
f2inter-100-m2const-bufcount-small-1-3,1,1.00813008130081,1,1,1,1.00813008130081
f2inter-100-m2const-bufm1-big-28-1,1.00404858299595,1.01224489795918,1.00404858299595,1,1.00404858299595,1.01224489795918
f2inter-100-m2const-bufm1-big-30-3,1.00404858299595,1.01224489795918,1.00404858299595,1,1.00404858299595,1.01224489795918
f2inter-100-m2const-bufm1-big-31-2,1.00404858299595,1.01224489795918,1.00404858299595,1,1.00404858299595,1.01224489795918
f2inter-100-m2const-bufm1-mid-28-1,3,3,1.59031413612565,1,3,3
f2inter-100-m2const-bufm1-mid-30-3,1.04087652760219,1.00816326530612,1,1.00406504065041,1.04307432432432,1.00816326530612
f2inter-100-m2const-bufm1-mid-31-2,3,3,1.09390298175345,1,3,3
f2inter-100-m2const-bufm1-small-28-1,1,1.00813008130081,1,1,1,1.00813008130081
f2inter-100-m2const-bufm1-small-30-3,1,1.00813008130081,1,1,1,1.00813008130081
f2inter-100-m2const-bufm1-small-31-2,1,1.00813008130081,1,1,1,1.00813008130081
f2inter-150-m2const-bufcount-big-1-1,1.00816326530612,1.02489626556017,1.00816326530612,1,1.00816326530612,1.02489626556017
f2inter-150-m2const-bufcount-big-1-2,1.00816326530612,1.02489626556017,1.00816326530612,1,1.00816326530612,1.02489626556017
f2inter-150-m2const-bufcount-big-1-3,1.00816326530612,1.02489626556017,1.00816326530612,1,1.00816326530612,1.02489626556017
f2inter-150-m2const-bufcount-mid-1-1,1.00813008130081,1.02057613168724,1.00813008130081,1,1.00813008130081,1.02057613168724
f2inter-150-m2const-bufcount-mid-1-2,1.00813008130081,1.02057613168724,1.00813008130081,1,1.00813008130081,1.02057613168724
f2inter-150-m2const-bufcount-mid-1-3,1.00365853658537,1.04618644067797,6,1,1.00365853658537,1.04618644067797
f2inter-150-m2const-bufcount-small-1-1,1.00404858299595,1.01639344262295,1.00404858299595,1,1.00404858299595,1.01639344262295
f2inter-150-m2const-bufcount-small-1-2,1.00404858299595,1.01639344262295,1.00404858299595,1,1.00404858299595,1.01639344262295
f2inter-150-m2const-bufcount-small-1-3,1.00404858299595,1.01639344262295,1.00404858299595,1,1.00404858299595,1.01639344262295
