instance,hvns,dabc,acols.lowEva,ils.neh,hvns.tuned,dabc.tuned
f2inter-100-m2const-bufcount-big-1-1,1,1.00120627261761,1,1,1,1.00850546780073
f2inter-100-m2const-bufcount-big-1-2,1,1.0024154589372,1,1,1,1.00484261501211
f2inter-100-m2const-bufcount-big-1-3,1,1,1,1,1,1.00484261501211
f2inter-100-m2const-bufcount-mid-1-1,1,1,1,1.00120627261761,1,1.00606060606061
f2inter-100-m2const-bufcount-mid-1-2,1,1,1,1,1,1.0024154589372
f2inter-100-m2const-bufcount-mid-1-3,1,1,1.00120627261761,1.00362756952842,1,1.00362756952842
f2inter-100-m2const-bufcount-small-1-1,1,1,1,1,1,1.00403225806452
f2inter-100-m2const-bufcount-small-1-2,1,1.0008038585209,1,1,1,1.00403225806452
f2inter-100-m2const-bufcount-small-1-3,1,1,1,1,1,1.0024154589372
f2inter-100-m2const-bufm1-big-28-1,1,1,1,1,1,1.00973236009732
f2inter-100-m2const-bufm1-big-30-3,1,1,1,1,1,1.00973236009732
f2inter-100-m2const-bufm1-big-31-2,1,1,1.00120627261761,1,1,1.00728155339806
f2inter-100-m2const-bufm1-mid-28-1,3,3,2,1,3,3
f2inter-100-m2const-bufm1-mid-30-3,1.10030932390632,1,1.00120627261761,1.02007374027038,1.10470275066548,1.00606060606061
f2inter-100-m2const-bufm1-mid-31-2,3,3,1.22535211267606,1,3,3
f2inter-100-m2const-bufm1-small-28-1,1,1,1,1,1,1
f2inter-100-m2const-bufm1-small-30-3,1,1,1.0008038585209,1,1,1.00403225806452
f2inter-100-m2const-bufm1-small-31-2,1,1,1,1,1,1.00565428109855
f2inter-150-m2const-bufcount-big-1-1,1,1,1,1,1,1.02300739523418
f2inter-150-m2const-bufcount-big-1-2,1,1.00281917035844,1.00281917035844,1,1,1.02007374027038
f2inter-150-m2const-bufcount-big-1-3,1,1,1,1,1,1.02595797280593
f2inter-150-m2const-bufcount-mid-1-1,1,1,1.0024154589372,1,1,1.0171568627451
f2inter-150-m2const-bufcount-mid-1-2,1,1,1,1,1,1.01219512195122
f2inter-150-m2const-bufcount-mid-1-3,1,1.02469135802469,6,1.00484261501211,1,1.02469135802469
f2inter-150-m2const-bufcount-small-1-1,1,1,1,1,1,1.0142566191446
f2inter-150-m2const-bufcount-small-1-2,1,1,1,1,1,1.0080971659919
f2inter-150-m2const-bufcount-small-1-3,1,1,1,1,1,1.01014198782961
f2inter-150-m2const-bufm1-big-24-2,1,1.00281917035844,1.00281917035844,1,1,1.02007374027038
f2inter-150-m2const-bufm1-big-25-1,1,1,1,1,1,1.02007374027038
f2inter-150-m2const-bufm1-big-26-3,1,1,1,1,1,1
f2inter-150-m2const-bufm1-mid-24-2,2.36692015209125,1,1.0024154589372,1.03233830845771,4.57720588235294,1.0171568627451
f2inter-150-m2const-bufm1-mid-25-1,2,2,2,1,2,2
f2inter-150-m2const-bufm1-mid-26-3,2,2,2,1,2,2
f2inter-150-m2const-bufm1-small-24-2,1,1,1,1,1,1.01014198782961
f2inter-150-m2const-bufm1-small-25-1,1,1,1.00201207243461,1,1,1.01014198782961
f2inter-150-m2const-bufm1-small-26-3,1,1,1,1,1,1.01014198782961
f2inter-50-m2const-bufcount-big-1-1,1,1,1,1,1,1.00201207243461
f2inter-50-m2const-bufcount-big-1-2,1,1.00040176777822,1.00040176777822,1,1.00040176777822,1.0024154589372
f2inter-50-m2const-bufcount-big-1-3,1,1.00040176777822,1.00040176777822,1,1,1.00160901045857
f2inter-50-m2const-bufcount-mid-1-1,1,1,1,1,1,1
f2inter-50-m2const-bufcount-mid-1-2,1,1,1.0008038585209,1,1,1
f2inter-50-m2const-bufcount-mid-1-3,1.0080971659919,1.00403225806452,1,1,1.0080971659919,1.00403225806452
f2inter-50-m2const-bufcount-small-1-1,1,1,1,1,1,1
f2inter-50-m2const-bufcount-small-1-2,1,1,1,1,1,1
f2inter-50-m2const-bufcount-small-1-3,1,1,1,1,1,1
f2inter-50-m2const-bufm1-big-22-2,1,1,1.00040176777822,1,1,1.00120627261761
f2inter-50-m2const-bufm1-big-26-1,1,1,1,1,1,1
f2inter-50-m2const-bufm1-big-40-3,1,1,1,1.00120627261761,1,1.0008038585209
f2inter-50-m2const-bufm1-mid-22-2,6,1.30655391120507,1.00040469445569,1,4,5
f2inter-50-m2const-bufm1-mid-26-1,1,1,1,1.00160901045857,1,1
f2inter-50-m2const-bufm1-mid-40-3,1,1,1,1.00728155339806,1,1
f2inter-50-m2const-bufm1-small-22-2,1,1,1,1,1,1
f2inter-50-m2const-bufm1-small-26-1,1,1,1,1,1,1
f2inter-50-m2const-bufm1-small-40-3,1,1,1,1,1,1
f2total-100-m2const-bufcount-big-3-1,1.01632653061224,1.01632653061224,1.00322320709106,1,1.01632653061224,1.00322320709106
f2total-100-m2const-bufcount-big-3-2,1.01632653061224,1.01632653061224,1.01632653061224,1,1.01632653061224,1.01137286758733
f2total-100-m2const-bufcount-big-3-3,1.01632653061224,1.01632653061224,1.01632653061224,1,1.01632653061224,1.01137286758733
f2total-100-m2const-bufcount-mid-3-1,1,1.01632653061224,1.0080971659919,1,1,1.01301871440195
f2total-100-m2const-bufcount-mid-3-2,1,1.01632653061224,1.01632653061224,1,1,1.01632653061224
