instance,hvns,dabc,acols-lowEva,ils-neh,hvns-tuned,dabc-tuned
f2inter-100-m2const-bufcount-big-1-1,7101,7101,7101,7101,7101,7101
f2inter-100-m2const-bufcount-big-1-2,7300,7300,7300,7300,7300,7300
f2inter-100-m2const-bufcount-big-1-3,7601,7601,7601,7601,7601,7601
f2inter-100-m2const-bufcount-mid-1-1,4936,4936,4936,4936,4936,4936
f2inter-100-m2const-bufcount-mid-1-2,5252,5252,5252,5252,5252,5252
f2inter-100-m2const-bufcount-mid-1-3,5301,5301,5301.2,5301,5301,5301
f2inter-100-m2const-bufcount-small-1-1,4916,4916,4916,4916,4916,4916
f2inter-100-m2const-bufcount-small-1-2,5234,5234,5234,5234,5234,5234
f2inter-100-m2const-bufcount-small-1-3,5223,5223,5223,5223,5223,5223
f2inter-100-m2const-bufm1-big-28-1,7101,7101,7101,7101,7101,7101
f2inter-100-m2const-bufm1-big-30-3,7601,7601,7601,7601,7601,7601
f2inter-100-m2const-bufm1-big-31-2,7300,7300,7300,7300,7300,7300
f2inter-100-m2const-bufm1-mid-28-1,5168.3,5136,5122.7,5079.5,5168.6,5136
f2inter-100-m2const-bufm1-mid-30-3,5573.6,5558.1,5552.4,5534.6,5575.5,5558.9
f2inter-100-m2const-bufm1-mid-31-2,5411.1,5411,5379.1,5349.8,5411,5411
f2inter-100-m2const-bufm1-small-28-1,4916,4916,4916,4916,4916,4916
f2inter-100-m2const-bufm1-small-30-3,5223,5223,5223,5223,5223,5223
f2inter-100-m2const-bufm1-small-31-2,5234,5234,5234,5234,5234,5234
f2inter-150-m2const-bufcount-big-1-1,11400,11400,11400,11400,11400,11400
f2inter-150-m2const-bufcount-big-1-2,11850,11850,11850,11850,11850,11850
f2inter-150-m2const-bufcount-big-1-3,11401,11401,11401,11401,11401,11401
f2inter-150-m2const-bufcount-mid-1-1,7309,7309,7309,7309,7309,7309
f2inter-150-m2const-bufcount-mid-1-2,7649,7649,7655,7649,7649.3,7649
f2inter-150-m2const-bufcount-mid-1-3,7525.1,7519.4,7597.8,7518,7524.1,7518
f2inter-150-m2const-bufcount-small-1-1,7290,7290,7290,7290,7290,7290
f2inter-150-m2const-bufcount-small-1-2,7623,7623,7623,7623,7623,7623
f2inter-150-m2const-bufcount-small-1-3,7494,7494,7494,7494,7494,7494
f2inter-150-m2const-bufm1-big-24-2,11850,11850,11850,11850,11850,11850
f2inter-150-m2const-bufm1-big-25-1,11400,11400,11400,11400,11400,11400
f2inter-150-m2const-bufm1-big-26-3,11401,11401,11401,11401,11401,11401
f2inter-150-m2const-bufm1-mid-24-2,8132.1,8110,8110,8052.2,8134.8,8110
f2inter-150-m2const-bufm1-mid-25-1,7665,7665,7612.5,7474.4,7665,7665
f2inter-150-m2const-bufm1-mid-26-3,7952.3,7926.6,7938.9,7825.3,7949,7935.3
f2inter-150-m2const-bufm1-small-24-2,7623,7623,7623,7623,7623,7623
f2inter-150-m2const-bufm1-small-25-1,7290,7290,7290,7290,7290,7290
f2inter-150-m2const-bufm1-small-26-3,7494,7494,7494,7494,7494,7494
f2inter-50-m2const-bufcount-big-1-1,3702,3702,3702,3702,3702,3702
f2inter-50-m2const-bufcount-big-1-2,3851,3851,3851,3851,3851,3851
f2inter-50-m2const-bufcount-big-1-3,3900,3900,3900,3900,3900,3900
f2inter-50-m2const-bufcount-mid-1-1,2702,2702,2702,2702,2702,2702
f2inter-50-m2const-bufcount-mid-1-2,2501,2501,2501,2501,2501,2501
f2inter-50-m2const-bufcount-mid-1-3,2900,2900,2900,2900,2900,2900
f2inter-50-m2const-bufcount-small-1-1,2562,2562,2562,2562,2562,2562
f2inter-50-m2const-bufcount-small-1-2,2454,2454,2454,2454,2454,2454
f2inter-50-m2const-bufcount-small-1-3,2876,2876,2876,2876,2876,2876
f2inter-50-m2const-bufm1-big-22-2,3852,3852,3852,3852,3852,3852
f2inter-50-m2const-bufm1-big-26-1,3702,3702,3702,3702,3702,3702
f2inter-50-m2const-bufm1-big-40-3,3900,3900,3900,3900,3900,3900
f2inter-50-m2const-bufm1-mid-22-2,2669.8,2665,2641,2641,2669.5,2670.3
f2inter-50-m2const-bufm1-mid-26-1,2815.2,2813,2813,2813,2815.4,2814.1
f2inter-50-m2const-bufm1-mid-40-3,3061.3,3059,3059,3059,3061.1,3060.2
f2inter-50-m2const-bufm1-small-22-2,2454,2454,2454,2454,2454,2454
f2inter-50-m2const-bufm1-small-26-1,2562,2562,2562,2562,2562,2562
f2inter-50-m2const-bufm1-small-40-3,2876,2876,2876,2876,2876,2876
f2total-100-m2const-bufcount-big-3-1,7101,7101,7101,7101,7101,7101
