instance,hvns,dabc,acols.lowEva,ils.neh,hvns.tuned,dabc.tuned
f2inter-100-m2const-bufcount-big-1-1,1.77504393673111,3.54973637961336,1.77504393673111,1,1.77504393673111,3.54973637961336
f2inter-100-m2const-bufcount-big-1-2,1.77504393673111,3.54973637961336,1.77504393673111,1,1.77504393673111,3.54973637961336
f2inter-100-m2const-bufcount-big-1-3,1.77504393673111,3.54973637961336,1.77504393673111,1,1.77504393673111,3.54973637961336
f2inter-100-m2const-bufcount-mid-1-1,1.20179436227556,2.40335074546947,1.20179436227556,1,1.20179436227556,2.40335074546947
f2inter-100-m2const-bufcount-mid-1-2,1.39120373558864,2.78213198528905,1.39120373558864,1,1.39120373558864,2.78213198528905
f2inter-100-m2const-bufcount-mid-1-3,1,2.29977227722772,4.90110693069307,1.45315841584158,1,2.29977227722772
f2inter-100-m2const-bufcount-small-1-1,1.63517736007901,3.27003092266097,1.63517736007901,1,1.63517736007901,3.27003092266097
f2inter-100-m2const-bufcount-small-1-2,1.74743507673143,3.494524126715,1.74743507673143,1,1.74743507673143,3.494524126715
f2inter-100-m2const-bufcount-small-1-3,1.69562662637455,3.39091748510031,1.69562662637455,1,1.69562662637455,3.39091748510031
f2inter-100-m2const-bufm1-big-28-1,1,1.99980198019802,1,1.42848514851485,1,1.99980198019802
f2inter-100-m2const-bufm1-big-30-3,1,2.05979603960396,1,1.56965346534653,1,2.05979603960396
f2inter-100-m2const-bufm1-big-31-2,1,2.17978415841584,1,1.36442574257426,1,2.17978415841584
f2inter-100-m2const-bufm1-mid-28-1,5,3,2,1,6,3
f2inter-100-m2const-bufm1-mid-30-3,5,3,2,1,6,3
f2inter-100-m2const-bufm1-mid-31-2,5,3,2,1,6,3
f2inter-100-m2const-bufm1-small-28-1,1.70288816577026,3.40543912596314,1.70288816577026,1,1.70288816577026,3.40543912596314
f2inter-100-m2const-bufm1-small-30-3,1.7266433028464,3.45294469612787,1.7266433028464,1,1.7266433028464,3.45294469612787
f2inter-100-m2const-bufm1-small-31-2,1.70386490544393,3.40739241189669,1.70386490544393,1,1.70386490544393,3.40739241189669
f2inter-150-m2const-bufcount-big-1-1,1.8941294530858,3.78809165412276,1.8941294530858,1,1.8941294530858,3.78809165412276
