instance,hvns,dabc,acols.lowEva,ils.neh,hvns.tuned,dabc.tuned
f2inter-100-m2const-bufcount-big-1-1,1.5,1.66666666666667,1.66666666666667,1,1.5,1.66666666666667
f2inter-100-m2const-bufcount-big-1-2,1.66666666666667,1.83333333333333,1.66666666666667,1,1.5,1.66666666666667
f2inter-100-m2const-bufcount-big-1-3,1.5,1.66666666666667,1.66666666666667,1,1.5,1.66666666666667
f2inter-100-m2const-bufcount-mid-1-1,1,1.25,1.25,1.27,1.125,1.25
f2inter-100-m2const-bufcount-mid-1-2,1,1.25,1.25,1.10375,1,1.25
f2inter-100-m2const-bufcount-mid-1-3,1,1.43,6,2.46,1,2.3975
f2inter-100-m2const-bufcount-small-1-1,1,1.42857142857143,1.42857142857143,1.04571428571429,1.14285714285714,1.42857142857143
f2inter-100-m2const-bufcount-small-1-2,1.1444921316166,1.43061516452074,1.43061516452074,1,1.1444921316166,1.43061516452074
f2inter-100-m2const-bufcount-small-1-3,1,1.42857142857143,1.42857142857143,1.00857142857143,1,1.42857142857143
f2inter-100-m2const-bufm1-big-28-1,1,1.11111111111111,1.11111111111111,2.16222222222222,1,6
f2inter-100-m2const-bufm1-big-30-3,1,1.14222222222222,1.11111111111111,2.34444444444444,1,1.14111111111111
f2inter-100-m2const-bufm1-big-31-2,1,1.21333333333333,1.22222222222222,2.02555555555556,1,6
f2inter-100-m2const-bufm1-mid-28-1,5,3,2,1,6,4
f2inter-100-m2const-bufm1-mid-30-3,5,3,2,1,6,3
f2inter-100-m2const-bufm1-mid-31-2,6,3,2,1,5,3
f2inter-100-m2const-bufm1-small-28-1,1.00143061516452,1.43061516452074,1.43061516452074,1,1.00143061516452,1.43061516452074
f2inter-100-m2const-bufm1-small-30-3,1,1.42857142857143,1.57142857142857,1.00142857142857,1,1.42857142857143
f2inter-100-m2const-bufm1-small-31-2,1,1.42857142857143,1.42857142857143,1.01428571428571,1.14285714285714,1.42857142857143
f2inter-150-m2const-bufcount-big-1-1,1.5,1.66666666666667,1.66666666666667,1,1.5,1.66666666666667
f2inter-150-m2const-bufcount-big-1-2,1.5,1.83333333333333,1.83333333333333,1,1.5,1.66666666666667
f2inter-150-m2const-bufcount-big-1-3,1.5,1.66666666666667,1.66666666666667,1,1.5,6
f2inter-150-m2const-bufcount-mid-1-1,1.18343195266272,1.4792899408284,1.62721893491124,1,1.18343195266272,1.4792899408284
f2inter-150-m2const-bufcount-mid-1-2,3.6877358490566,1.31698113207547,6,1,5,1.97358490566038
f2inter-150-m2const-bufcount-mid-1-3,5,3,6,1,4,2
f2inter-150-m2const-bufcount-small-1-1,1,1.42857142857143,1.42857142857143,1.00571428571429,1.14285714285714,1.42857142857143
f2inter-150-m2const-bufcount-small-1-2,1.30718954248366,1.63398692810458,1.63398692810458,1,1.1437908496732,1.63398692810458
f2inter-150-m2const-bufcount-small-1-3,1.00143061516452,1.43061516452074,1.43061516452074,1,1.00143061516452,1.43061516452074
f2inter-150-m2const-bufm1-big-24-2,1,1.11111111111111,1.22222222222222,1.50333333333333,1,1.11111111111111
f2inter-150-m2const-bufm1-big-25-1,1,1.15111111111111,1.11111111111111,1.31666666666667,1,1.15111111111111
f2inter-150-m2const-bufm1-big-26-3,1,1.11111111111111,1.11111111111111,1.69111111111111,1,1.11111111111111
f2inter-150-m2const-bufm1-mid-24-2,5,2,2,1,6,2
f2inter-150-m2const-bufm1-mid-25-1,6,4,2,1,5,3
f2inter-150-m2const-bufm1-mid-26-3,6,2,4,1,5,3
f2inter-150-m2const-bufm1-small-24-2,1.13636363636364,1.62337662337662,1.62337662337662,1,1.13636363636364,1.62337662337662
f2inter-150-m2const-bufm1-small-25-1,1.28410914927769,1.60513643659711,1.60513643659711,1,1.12359550561798,1.60513643659711
f2inter-150-m2const-bufm1-small-26-3,1.11464968152866,1.59235668789809,1.59235668789809,1,1.11464968152866,1.59235668789809
f2inter-50-m2const-bufcount-big-1-1,1.125,1.25,1.25,1,1.125,1.25
f2inter-50-m2const-bufcount-big-1-2,1.125,1.375,1.25,1,1.25,1.25
f2inter-50-m2const-bufcount-big-1-3,1.125,1.25,1.375,1,1.125,1.25
f2inter-50-m2const-bufcount-mid-1-1,1,1.25,1.25,6,1,1.25
f2inter-50-m2const-bufcount-mid-1-2,2.69939707149009,2.52024117140396,2,1,4.9328165374677,5.08268733850129
f2inter-50-m2const-bufcount-mid-1-3,2.93881713120326,1.86403806934058,1.38477226376615,1,3.11284840244731,4.49286199864038
f2inter-50-m2const-bufcount-small-1-1,1,1.42857142857143,1.42857142857143,1.14285714285714,1,1.42857142857143
f2inter-50-m2const-bufcount-small-1-2,1,1.42857142857143,1.42857142857143,1.14285714285714,1.14285714285714,1.42857142857143
f2inter-50-m2const-bufcount-small-1-3,1,1.25,1.25,1,1,6
f2inter-50-m2const-bufm1-big-22-2,1,1.26888888888889,1.36444444444444,2.34666666666667,1,2.04444444444444
f2inter-50-m2const-bufm1-big-26-1,1,1.28333333333333,1.11111111111111,3.20222222222222,1,2.14222222222222
f2inter-50-m2const-bufm1-big-40-3,1,1.16333333333333,1.11111111111111,1.92555555555556,1,1.42777777777778
f2inter-50-m2const-bufm1-mid-22-2,5,3,1.28390522875817,1,4,6
f2inter-50-m2const-bufm1-mid-26-1,6,3,1,2,5,4
f2inter-50-m2const-bufm1-mid-40-3,6,2.39821428571429,1,1.77916666666667,5,4
f2inter-50-m2const-bufm1-small-22-2,1,1.42857142857143,1.42857142857143,1.34142857142857,1,1.42857142857143
f2inter-50-m2const-bufm1-small-26-1,1,1.42857142857143,1.42857142857143,1.29428571428571,1,1.42857142857143
f2inter-50-m2const-bufm1-small-40-3,1,1.25,1.25,1.1275,1,1.25
f2total-100-m2const-bufcount-big-3-1,2,1.66666666666667,1.66666666666667,1,2,1.66666666666667
f2total-100-m2const-bufcount-big-3-2,2,1.66666666666667,1.66666666666667,1,2,1.66666666666667
f2total-100-m2const-bufcount-big-3-3,2.16666666666667,1.66666666666667,1.66666666666667,1,2,1.66666666666667
f2total-100-m2const-bufcount-mid-3-1,1,1.25,1.25,1.1425,1,1.25
f2total-100-m2const-bufcount-mid-3-2,1,1.42857142857143,1.42857142857143,1.15714285714286,1,1.42857142857143
f2total-100-m2const-bufcount-mid-3-3,1.125,1.43375,6,2.43,1,1.57
f2total-100-m2const-bufcount-small-3-1,1,1.66666666666667,1.66666666666667,1.16833333333333,1,1.66666666666667
f2total-100-m2const-bufcount-small-3-2,1,1.83333333333333,1.66666666666667,1.165,1,1.66666666666667
