instance,hvns,dabc,acols.lowEva,ils.neh,hvns.tuned,dabc.tuned
f2inter-100-m2const-bufcount-big-1-1,1,1,1,1,1,1
f2inter-100-m2const-bufcount-big-1-2,1,1,1,1,1,1
f2inter-100-m2const-bufcount-big-1-3,1,1,1,1,1,1
f2inter-100-m2const-bufcount-mid-1-1,1,1,1,1,1,1
f2inter-100-m2const-bufcount-mid-1-2,1,1,1,1,1,1
f2inter-100-m2const-bufcount-mid-1-3,1,1.06413884172798,1.4427843803056,1.08651197887191,1,1.06413884172798
f2inter-100-m2const-bufcount-small-1-1,1,1,1,1,1,1
f2inter-100-m2const-bufcount-small-1-2,1,1,1,1,1,1
f2inter-100-m2const-bufcount-small-1-3,1,1,1,1,1,1
f2inter-100-m2const-bufm1-big-28-1,1,1,1,1.01789888748064,1,1
f2inter-100-m2const-bufm1-big-30-3,1,1.00315747927904,1,1.02290488093672,1,1.00315747927904
f2inter-100-m2const-bufm1-big-31-2,1,1.01027397260274,1,1.01701369863014,1,1.01027397260274
f2inter-100-m2const-bufm1-mid-28-1,5,3,2,1,6,3
f2inter-100-m2const-bufm1-mid-30-3,6,4,2,1,5,3
f2inter-100-m2const-bufm1-mid-31-2,6,3,2,1,5,3
f2inter-100-m2const-bufm1-small-28-1,1,1,1,1,1,1
f2inter-100-m2const-bufm1-small-30-3,1,1,1,1,1,1
f2inter-100-m2const-bufm1-small-31-2,1,1,1,1,1,1
f2inter-150-m2const-bufcount-big-1-1,1,1,1,1,1,1
f2inter-150-m2const-bufcount-big-1-2,1,1,1,1,1,1
f2inter-150-m2const-bufcount-big-1-3,1,1,1,1,1,1
f2inter-150-m2const-bufcount-mid-1-1,1,1,1,1,1,1
f2inter-150-m2const-bufcount-mid-1-2,1.12938946267487,1.07419270492875,1.35847823244869,1,1.14773172963787,1.07527781409334
f2inter-150-m2const-bufcount-mid-1-3,3,5,6,1,2,4
f2inter-150-m2const-bufcount-small-1-1,1,1,1,1,1,1
f2inter-150-m2const-bufcount-small-1-2,1,1,1,1,1,1
f2inter-150-m2const-bufcount-small-1-3,1,1,1,1,1,1
f2inter-150-m2const-bufm1-big-24-2,1,1,1,1.00389029535865,1,1
f2inter-150-m2const-bufm1-big-25-1,1,1.00464912280702,1,1.0000350877193,1,1.00464912280702
f2inter-150-m2const-bufm1-big-26-3,1,1,1,1.01345496009122,1,1
f2inter-150-m2const-bufm1-mid-24-2,5,2,2,1,6,2
f2inter-150-m2const-bufm1-mid-25-1,6,3,2,1,5,3
f2inter-150-m2const-bufm1-mid-26-3,6,2,4,1,5,3
f2inter-150-m2const-bufm1-small-24-2,1,1,1,1,1,1
f2inter-150-m2const-bufm1-small-25-1,1,1,1,1,1,1
