instance,hvns,dabc,acols.lowEva,ils.neh,hvns.tuned,dabc.tuned
f2inter-100-m2const-bufcount-big-1-1,1,1,1,1,1,1
f2inter-100-m2const-bufcount-big-1-2,1,1,1,1,1,1
f2inter-100-m2const-bufcount-big-1-3,1,1,1,1,1,1
f2inter-100-m2const-bufcount-mid-1-1,1,1,1,1.01608876959284,1,1
f2inter-100-m2const-bufcount-mid-1-2,1,1,1,1.00146491643365,1,1
f2inter-100-m2const-bufcount-mid-1-3,1,1.01924165251839,1.47491314338334,1.14305572111845,1,1.12827768345595
f2inter-100-m2const-bufcount-small-1-1,1,1,1,1,1,1
f2inter-100-m2const-bufcount-small-1-2,1,1,1,1,1,1
f2inter-100-m2const-bufcount-small-1-3,1,1,1,1,1,1
f2inter-100-m2const-bufm1-big-28-1,1,1,1,1.00485934392356,1,1
f2inter-100-m2const-bufm1-big-30-3,1,1.00105850599538,1,1.04585428890783,1,1.00105249309301
f2inter-100-m2const-bufm1-big-31-2,1,1,1,1.00745464231355,1,1
f2inter-100-m2const-bufm1-mid-28-1,5,3,2,1,6,3
f2inter-100-m2const-bufm1-mid-30-3,6,3,2,1,5,3.80713321774027
f2inter-100-m2const-bufm1-mid-31-2,6,3,2,1,5,3
f2inter-100-m2const-bufm1-small-28-1,1,1,1,1,1,1
f2inter-100-m2const-bufm1-small-30-3,1,1,1,1,1,1
f2inter-100-m2const-bufm1-small-31-2,1,1,1,1,1,1
f2inter-150-m2const-bufcount-big-1-1,1,1,1,1,1,1
f2inter-150-m2const-bufcount-big-1-2,1,1,1,1,1,1
f2inter-150-m2const-bufcount-big-1-3,1,1,1,1,1,1
f2inter-150-m2const-bufcount-mid-1-1,1,1,1,1,1,1
f2inter-150-m2const-bufcount-mid-1-2,4,2,6,1,5,3
f2inter-150-m2const-bufcount-mid-1-3,5,3,6,1,4,2
f2inter-150-m2const-bufcount-small-1-1,1,1,1,1,1,1
f2inter-150-m2const-bufcount-small-1-2,1,1,1,1,1,1
f2inter-150-m2const-bufcount-small-1-3,1,1,1,1,1,1
f2inter-150-m2const-bufm1-big-24-2,1,1,1,1.01000534742042,1,1
f2inter-150-m2const-bufm1-big-25-1,1,1.00156457855053,1,1.01517595238289,1,1.00157894736842
f2inter-150-m2const-bufm1-big-26-3,1,1,1,1.05060863176143,1,1
f2inter-150-m2const-bufm1-mid-24-2,5,2,2,1,6,2
f2inter-150-m2const-bufm1-mid-25-1,6,3,2,1,5,3
f2inter-150-m2const-bufm1-mid-26-3,6,2,4,1,5,3
f2inter-150-m2const-bufm1-small-24-2,1,1,1,1,1,1
f2inter-150-m2const-bufm1-small-25-1,1,1,1,1,1,1
f2inter-150-m2const-bufm1-small-26-3,1,1,1,1,1,1
