instance,hvns,dabc,acols-lowEva,ils-neh,hvns-tuned,dabc-tuned
f2inter-100-m2const-bufcount-big-1-1,7101,7101,7101,7101,7101,7101
f2inter-100-m2const-bufcount-big-1-2,7300,7300,7300,7300,7300,7300
f2inter-100-m2const-bufcount-big-1-3,7601,7601,7601,7601,7601,7601
f2inter-100-m2const-bufcount-mid-1-1,4936,4936,4936,4936,4936,4936
f2inter-100-m2const-bufcount-mid-1-2,5252,5252,5252,5252,5252,5252
f2inter-100-m2const-bufcount-mid-1-3,5301,5301,5306.5,5301,5301,5301
f2inter-100-m2const-bufcount-small-1-1,4916,4916,4916,4916,4916,4916
f2inter-100-m2const-bufcount-small-1-2,5234,5234,5234,5234,5234,5234
f2inter-100-m2const-bufcount-small-1-3,5223,5223,5223,5223,5223,5223
f2inter-100-m2const-bufm1-big-28-1,7101,7101,7101,7101,7101,7101
f2inter-100-m2const-bufm1-big-30-3,7601,7601,7601,7601,7601,7601
f2inter-100-m2const-bufm1-big-31-2,7300,7300,7300,7300,7300,7300
f2inter-100-m2const-bufm1-mid-28-1,5171.3,5136,5135.9,5083.7,5171.3,5136
f2inter-100-m2const-bufm1-mid-30-3,5578.5,5559,5558.9,5534.9,5578.3,5559
f2inter-100-m2const-bufm1-mid-31-2,5413.9,5411,5395.9,5352.5,5415.2,5411
f2inter-100-m2const-bufm1-small-28-1,4916,4916,4916,4916,4916,4916
f2inter-100-m2const-bufm1-small-30-3,5223,5223,5223,5223,5223,5223
f2inter-100-m2const-bufm1-small-31-2,5234,5234,5234,5234,5234,5234
f2inter-150-m2const-bufcount-big-1-1,11400,11400,11400,11400,11400,11400
f2inter-150-m2const-bufcount-big-1-2,11850,11850,11850,11850,11850,11850
f2inter-150-m2const-bufcount-big-1-3,11401,11401,11401,11401,11401,11401
f2inter-150-m2const-bufcount-mid-1-1,7309,7309,7309,7309,7309,7309
f2inter-150-m2const-bufcount-mid-1-2,7651.6,7649.1,7655,7649,7651.6,7649
f2inter-150-m2const-bufcount-mid-1-3,7532.1,7534.9,7600,7518,7527.2,7526.7
f2inter-150-m2const-bufcount-small-1-1,7290,7290,7290,7290,7290,7290
f2inter-150-m2const-bufcount-small-1-2,7623,7623,7623,7623,7623,7623
f2inter-150-m2const-bufcount-small-1-3,7494,7494,7494,7494,7494,7494
f2inter-150-m2const-bufm1-big-24-2,11850,11850,11850,11850,11850,11850
f2inter-150-m2const-bufm1-big-25-1,11400,11400,11400,11400,11400,11400
f2inter-150-m2const-bufm1-big-26-3,11401,11401,11401,11401.1,11401,11401
f2inter-150-m2const-bufm1-mid-24-2,8137.6,8110,8110,8056.2,8143.2,8110
f2inter-150-m2const-bufm1-mid-25-1,7673.4,7665,7658.2,7482.6,7669.3,7665
f2inter-150-m2const-bufm1-mid-26-3,7977.5,7937.1,7940,7841.4,7979.3,7939.6
f2inter-150-m2const-bufm1-small-24-2,7623,7623,7623,7623,7623,7623
f2inter-150-m2const-bufm1-small-25-1,7290,7290,7290,7290,7290,7290
f2inter-150-m2const-bufm1-small-26-3,7494,7494,7494,7494,7494,7494
f2inter-50-m2const-bufcount-big-1-1,3702,3702,3702,3702,3702,3702
f2inter-50-m2const-bufcount-big-1-2,3851,3851,3851,3851,3851,3851
f2inter-50-m2const-bufcount-big-1-3,3900,3900,3900,3900,3900,3900
f2inter-50-m2const-bufcount-mid-1-1,2702,2702,2702,2702,2702,2702
f2inter-50-m2const-bufcount-mid-1-2,2501,2501,2501,2501,2501.1,2501
f2inter-50-m2const-bufcount-mid-1-3,2900,2900,2900,2900,2900.2,2900
f2inter-50-m2const-bufcount-small-1-1,2562,2562,2562,2562,2562,2562
f2inter-50-m2const-bufcount-small-1-2,2454,2454,2454,2454,2454,2454
f2inter-50-m2const-bufcount-small-1-3,2876,2876,2876,2876,2876,2876
f2inter-50-m2const-bufm1-big-22-2,3852,3852,3852,3852,3852,3852
f2inter-50-m2const-bufm1-big-26-1,3702,3702,3702,3702,3702,3702
f2inter-50-m2const-bufm1-big-40-3,3900,3900,3900,3900,3900,3900
f2inter-50-m2const-bufm1-mid-22-2,2671,2672.9,2641,2641,2671.2,2673.9
f2inter-50-m2const-bufm1-mid-26-1,2817,2816,2813,2813,2816.7,2817.2
f2inter-50-m2const-bufm1-mid-40-3,3061.6,3063.2,3059,3059,3061.5,3060.6
f2inter-50-m2const-bufm1-small-22-2,2454,2454,2454,2454,2454,2454
f2inter-50-m2const-bufm1-small-26-1,2562,2562,2562,2562,2562,2562
f2inter-50-m2const-bufm1-small-40-3,2876,2876,2876,2876,2876,2876
f2total-100-m2const-bufcount-big-3-1,7101,7101,7101,7101,7101,7101
